id,correctAnswer
207636,A
190471,B
212026,A
110534,D
197845,C
202489,D
116262,D
105500,D
106600,C
113942,D
192889,A
197324,B
119164,C
211077,A
117089,B
4750,D
8739,D
197980,C
212396,B
120270,D
189521,C
117070,B
113742,D
106348,B
123057,B
203145,D
206866,D
207892,C
10367,B
119225,A
101905,B
8542,A
107235,B
121667,B
118011,A
203936,B
8197,B
198618,C
203502,D
8744,D
103523,A
101992,C
206053,B
198074,D
9014,A
9326,A
9062,D
9048,B
109963,C
108654,D
9985,A
209961,C
10674,D
212720,B
189879,B
193711,C
208918,B
106478,D
121584,C
10601,A
109262,A
202158,D
190875,A
115166,A
8728,C
212580,C
202348,C
101036,B
9218,A
101896,B
122919,D
211313,C
206858,C
8579,C
196397,B
207728,C
110553,C
110563,B
116461,D
116040,C
10162,A
121910,B
110273,C
107694,A
117308,B
9340,A
201871,D
106780,A
9870,B
121158,B
111856,C
8537,D
8187,D
193581,D
205168,C
194488,C
123771,C
196149,A
102674,A
206027,D
208120,B
207765,B
201816,C
208274,D
9178,A
9587,C
198092,A
190690,B
198614,A
105323,C
103062,C
108713,D
109121,B
116534,D
9275,B
105018,A
190084,B
103854,C
104314,A
207214,C
115313,B
10333,A
120127,B
201836,C
427,B
102798,C
201461,D
8743,B
208992,C
120091,D
191452,D
10284,D
107771,D
9362,A
10476,C
105089,A
211931,A
203542,A
193922,B
190836,D
207341,A
189224,A
190514,D
102458,C
109386,A
113659,C
112152,A
189219,D
192439,C
111488,A
203016,B
116589,A
202243,D
8468,C
100686,A
196197,A
113661,B
105244,A
123485,B
122792,C
112424,C
9525,B
190233,C
121321,C
102600,D
203543,C
8871,A
115370,C
10232,B
118932,A
196243,D
9538,B
205077,B
101014,D
103381,B
8996,A
120194,D
8312,A
9122,A
194393,B
116042,C
100885,D
117987,D
10002,C
117486,C
8835,B
9848,D
10153,B
106547,D
10118,A
102926,C
109440,A
119058,D
109432,B
117696,B
202476,C
122600,D
198060,C
8473,A
10313,D
192801,A
103760,B
196860,D
113906,A
8640,D
193429,D
109588,A
206772,B
101236,A
197939,B
189814,B
210576,B
112778,B
198649,A
10156,D
123846,C
8539,B
108015,C
196948,B
116575,A
8599,D
7214,C
118949,D
119133,A
205242,D
193482,C
210565,C
107838,B
11890,A
8193,A
196965,A
107371,B
200837,B
189276,C
196394,A
202637,C
118609,D
207633,C
8993,D
212156,B
10714,A
192702,C
194351,A
118923,B
8760,B
103918,C
9161,B
9402,D
8410,A
116110,B
109231,C
103070,B
189980,C
107847,B
196979,C
208137,B
108118,A
110239,C
8648,B
203112,B
118032,C
109094,C
10676,C
10042,A
123715,D
195546,C
197608,A
110789,A
117659,C
197510,C
104191,B
10419,D
10216,D
191293,D
191442,C
197958,D
203709,C
8324,A
206518,C
118980,D
104311,D
208501,A
109022,C
201989,A
204670,C
196315,C
8313,D
9905,C
112904,C
194856,A
102838,A
9939,B
206782,C
121916,D
9857,C
8820,B
113797,A
207723,A
105257,B
207495,C
209246,D
103650,D
9023,C
9056,D
106367,A
192558,D
113707,B
122143,C
194135,C
103005,B
114917,A
194089,B
203273,D
189213,A
205354,D
190161,A
10494,B
111379,D
204724,B
108473,C
206773,A
123047,D
192445,D
194233,A
102801,A
8742,B
210588,A
201698,A
106815,B
105081,C
206761,A
9749,B
194837,B
211980,A
189171,C
193982,B
117500,A
110842,D
120340,B
117117,B
108518,B
122471,D
8967,C
10583,B
109249,A
114028,B
8464,B
108807,B
211538,D
114532,B
196283,B
202419,B
206815,C
108965,B
117137,B
106534,D
118079,C
106594,D
9169,B
197264,C
110951,B
10453,B
120717,B
120100,A
10589,B
207965,C
109105,B
9170,A
210384,A
189226,D
117683,C
117512,C
106199,D
9426,D
123572,B
208174,A
121694,D
104868,A
203449,D
105481,D
8808,C
118152,C
107864,A
10579,A
204860,B
109108,B
120295,D
110096,A
10221,C
117998,A
119857,A
196931,D
201418,B
189975,A
117176,B
207251,A
8689,D
202300,A
205268,A
8154,B
206233,D
191026,B
110385,A
191016,C
203653,D
123742,A
196211,D
116681,C
207371,B
192507,B
108120,C
118048,B
118788,C
206757,D
196206,B
9588,D
211593,D
119786,B
205223,A
202138,D
102853,B
7963,A
212007,C
101911,D
108009,A
116401,B
109334,C
204837,D
198130,D
190261,B
198698,D
206786,A
200892,A
107893,D
190181,D
9025,C
105418,B
8623,A
197586,B
116513,C
198536,A
118057,A
118605,D
102654,D
9818,D
8455,A
206834,D
192960,B
207293,D
9556,A
105202,D
191083,A
110710,A
111025,D
112412,D
7972,D
8478,B
8864,B
116239,D
101206,B
189645,A
10035,A
8245,D
8248,D
10052,C
112477,C
114448,B
116502,D
202442,B
114483,D
112643,B
194368,B
10713,C
189239,A
8237,C
8936,B
9250,A
118711,D
8956,B
121846,A
210418,D
197437,A
212492,D
102711,A
198100,A
206797,A
194116,D
193616,D
196508,C
113779,D
9373,B
192361,D
193990,D
103099,C
114943,B
103533,C
194960,A
197316,D
113980,A
9591,B
106528,B
110648,B
108977,C
209204,A
123122,D
211441,D
115241,D
197032,C
193832,C
196200,B
103738,B
209625,A
112385,D
8577,D
8319,D
104680,D
190335,D
9523,C
7975,C
203412,D
123042,D
106644,B
201785,A
190555,D
102306,B
191144,A
104172,A
115757,D
203415,D
110421,B
112042,C
8174,A
190782,C
189927,A
110753,B
101675,B
106597,A
203473,B
195100,B
204964,A
116562,A
201828,D
118678,B
201826,D
10040,B
194073,A
191311,C
104179,C
8175,D
198152,A
201118,D
211993,A
202516,D
108894,D
196121,C
105460,D
9799,D
206861,C
208465,C
191149,C
106655,C
8207,A
8529,A
123710,B
103144,C
116558,A
108082,D
192480,C
105199,D
118852,B
8516,C
107718,C
190620,A
205986,C
10587,C
210365,A
112140,B
103344,A
110020,D
8694,C
101978,B
189407,D
110427,C
197555,B
110054,A
8096,D
208507,C
8796,D
115388,C
9847,C
201478,B
196174,D
9745,D
8611,A
8991,D
115621,B
209066,D
110646,D
119199,C
206828,D
190921,C
10176,D
202690,C
101944,C
208988,A
109290,D
113696,C
197067,A
8349,B
113131,C
8318,A
108417,B
194366,D
118054,C
204262,D
197051,A
212159,A
108889,C
10718,D
190269,D
190959,A
208794,D
123854,B
121896,C
109394,C
9185,A
9285,D
8881,A
201953,B
103861,D
8692,C
10036,D
8387,C
8404,D
8890,D
114127,A
105431,B
9691,C
107984,D
197854,D
100749,C
190363,C
104300,C
119434,D
208947,A
107286,C
108446,A
208848,D
105343,B
110470,A
110041,B
201942,A
206846,C
189731,B
9531,B
197818,B
9783,C
192699,D
189353,D
204020,D
102830,A
9712,C
8090,D
116254,D
112406,D
109354,A
8091,B
209602,D
119259,A
8306,C
212181,C
8957,A
102260,C
8373,B
9365,C
104717,A
116148,C
10489,D
8267,B
122558,B
114658,B
191077,C
9177,D
192872,B
112728,B
112064,C
9664,D
120588,A
8552,B
197889,B
207177,C
189960,C
112601,B
121698,C
189504,C
204938,A
122864,D
208485,A
195268,B
121923,B
8208,B
10427,C
112719,B
9567,C
8526,B
106423,C
116522,C
209055,A
8638,B
120554,C
104207,D
205367,B
10509,B
107472,D
106863,C
212310,C
197376,B
202120,B
113930,C
106854,D
192744,B
107964,C
112693,A
106261,B
108996,C
8325,D
203427,A
122068,C
115231,A
196334,C
119810,A
114000,B
9243,C
8169,A
204729,C
117169,D
10224,D
111065,B
116622,A
106413,C
203964,B
103633,A
108684,D
10050,B
105402,B
194309,C
190534,D
120115,A
10502,A
115734,B
198724,D
115586,B
107387,B
9675,D
209551,A
103809,A
204980,A
191302,D
106333,B
10505,D
121969,B
107264,B
206829,A
9778,A
189832,B
204987,D
111329,A
109970,A
113192,C
196117,D
8336,B
197418,A
9184,C
101048,D
123312,A
122055,C
8396,A
107642,C
197015,D
113719,C
112026,A
197624,C
198489,B
193993,B
106304,A
200802,C
10708,A
123794,B
193871,A
194269,C
193695,C
123018,D
197421,C
9073,B
202493,D
115332,A
122681,B
197255,D
118845,A
8412,C
8535,C
116027,C
197774,D
114082,B
105477,C
103690,A
105356,C
120505,A
191274,C
8443,C
121148,D
10663,B
121756,C
102513,A
116474,C
107364,A
205130,B
197899,A
204092,B
9117,D
13134,A
10145,D
106543,B
123163,D
112626,D
102804,D
189723,D
8228,A
203811,D
10182,A
118520,B
119182,C
8794,C
9291,D
109404,A
121618,D
116002,C
106693,A
204947,A
208936,A
9386,B
206753,C
116250,A
197094,A
196155,A
105007,C
198538,B
197701,D
8617,A
212434,C
8749,B
211368,A
190121,B
190917,A
102034,B
110619,A
198714,D
194231,A
122835,C
121672,D
9794,D
207368,B
202999,A
120282,A
111031,C
122487,A
118122,A
108763,B
101418,A
208658,A
103947,B
102815,B
207414,B
9269,D
210717,A
191170,B
189929,C
122629,B
102478,D
108611,A
102521,C
123883,B
114019,B
206831,B
102783,B
211315,A
189301,D
205115,B
110857,B
122576,D
193596,D
202359,B
212131,D
8461,D
10637,B
9528,A
8759,D
102476,B
8950,A
102866,C
10429,D
123767,C
206771,A
191202,D
10059,D
208789,A
200732,B
202193,C
113972,D
106551,A
190929,C
107700,D
204248,B
196913,C
118042,D
203651,A
123576,D
120314,C
108905,C
106132,A
189683,D
122778,B
122211,A
194265,C
101371,D
