word,topicid,topicval
1,"[24, 11, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 23, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
one,"[4, 10, 20, 1, 13, 9, 24, 2, 3, 5, 6, 7, 8, 12, 11, 23, 14, 15, 16, 17, 18, 19, 21, 22, 0]","[1.0, 8.6243572201663645e-137, 1.2538624925942272e-208, 7.8517602085099001e-270, 2.5106384779155175e-275, 5.9037637469975531e-304, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
also,"[13, 24, 11, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 23, 14, 15, 16, 17, 18, 19, 20, 21, 22, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
call,"[4, 10, 1, 20, 24, 11, 2, 3, 5, 6, 7, 8, 9, 12, 23, 13, 14, 15, 16, 17, 18, 19, 21, 22, 0]","[1.0, 6.1994317690799296e-276, 1.2575365349019021e-286, 1.0429830762090787e-309, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
unit,"[22, 24, 11, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 23, 13, 14, 15, 16, 17, 18, 19, 20, 21, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
multipl,"[12, 20, 1, 10, 9, 13, 4, 15, 5, 0, 17, 14, 16, 23, 11, 18, 8, 7, 6, 19, 21, 3, 2, 22, 24]","[1.0, 8.8304579370963512e-51, 1.4782913378893125e-52, 1.5126908049390853e-56, 1.0800253984483495e-68, 1.89197618591921e-85, 4.2521994586889724e-86, 3.8258360485952802e-130, 3.9061112109820398e-184, 1.2008604008513355e-191, 1.2636545918540185e-261, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ident,"[1, 9, 15, 20, 10, 5, 0, 13, 17, 12, 23, 4, 3, 11, 14, 16, 18, 19, 8, 7, 6, 21, 2, 22, 24]","[0.9999999937867301, 6.2132641964228978e-09, 2.7352045418846686e-16, 5.6080639276094585e-21, 4.2053577259531774e-24, 4.7388342134193536e-35, 8.6775916555370442e-38, 7.0553121899238165e-39, 3.0140938096467894e-59, 2.1976522982888125e-78, 3.9149213184234983e-85, 1.5137637804223843e-91, 5.2537011636573856e-115, 3.9045063954450214e-285, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
number,"[19, 24, 11, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 23, 13, 14, 15, 16, 17, 18, 20, 21, 22, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
numer,"[12, 1, 10, 20, 9, 4, 15, 13, 0, 5, 17, 23, 3, 16, 14, 11, 18, 19, 8, 7, 6, 21, 2, 22, 24]","[1.0, 1.1345318784247756e-33, 3.0289718249447059e-43, 1.9838548941641949e-51, 1.0019102406716926e-52, 1.9348945537209949e-89, 1.0556691910270969e-89, 2.6510874761719035e-108, 7.2086133836332396e-124, 3.3567750988901661e-124, 7.200949609043043e-167, 1.1231304520940717e-215, 7.9432682026936472e-253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
glyph,"[11, 3, 23, 17, 0, 5, 15, 9, 10, 13, 1, 20, 4, 12, 14, 16, 8, 7, 6, 18, 19, 21, 2, 22, 24]","[1.0, 1.158526665400839e-20, 1.4244064423020723e-25, 3.5068920201418378e-37, 6.9151991876306223e-42, 1.0140071006218263e-69, 3.0490873788024816e-89, 2.1772202481027332e-114, 2.2111501353675034e-125, 1.1886971219681252e-125, 2.6288801649043416e-129, 3.6627191659156563e-136, 4.8355620162142583e-143, 2.7871656546721171e-194, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
(,"[2, 24, 11, 1, 3, 4, 5, 6, 7, 8, 9, 10, 12, 23, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
),"[21, 24, 11, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 23, 13, 14, 15, 16, 17, 18, 19, 20, 22, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
repres,"[11, 3, 21, 2, 23, 14, 24, 8, 17, 7, 6, 16, 0, 19, 18, 22, 5, 12, 15, 4, 13, 9, 10, 1, 20]","[1.0, 3.8587951977822958e-45, 1.0895080983098445e-49, 1.0447181467825393e-49, 4.4279589806278994e-51, 1.4596049765933827e-51, 4.1719244972945746e-53, 1.1107230724235014e-58, 7.4128936400505645e-61, 3.7218347803467932e-62, 4.3484707743279392e-67, 2.1048607796944897e-67, 3.2142582165748242e-70, 1.3705355811510938e-86, 7.4736258302227036e-93, 8.0082371805366967e-98, 6.7185006257914066e-102, 9.3974849288313149e-120, 5.7007147593665242e-123, 8.7275573704671923e-135, 8.8600082954562793e-136, 4.331980478425946e-140, 4.0615543801491828e-151, 1.5112919604746195e-155, 9.1858424972186229e-162]"
singl,"[13, 20, 10, 1, 4, 9, 15, 5, 0, 2, 3, 6, 7, 8, 24, 11, 23, 14, 16, 17, 18, 19, 21, 22, 12]","[1.0, 1.0681587617905582e-45, 2.1181548840972609e-52, 8.1944798534205395e-103, 5.0160092366878653e-135, 4.1248390472294179e-137, 1.5292603242068898e-219, 1.8199822472630626e-293, 1.3941025625420162e-317, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
entiti,"[5, 0, 17, 15, 9, 23, 3, 1, 20, 10, 4, 13, 12, 11, 14, 16, 8, 7, 6, 18, 19, 21, 2, 22, 24]","[0.99999999898830083, 1.0116738273658034e-09, 6.0090876049721051e-16, 1.0921753948986959e-16, 1.5012606698670693e-19, 8.2149898940580865e-22, 1.4916406975781754e-32, 9.7640533010437598e-35, 2.2376458340265663e-57, 3.6536846334367073e-72, 2.121683614660729e-81, 4.0688106258224943e-91, 3.0729128568795356e-143, 9.0526896392706448e-264, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
count,"[17, 0, 23, 5, 15, 3, 9, 1, 10, 20, 13, 4, 12, 11, 18, 14, 16, 8, 7, 6, 19, 21, 2, 22, 24]","[0.9999999999969873, 3.0027682662728822e-12, 1.5856041927881488e-15, 2.9221460729204167e-17, 1.149906766920602e-20, 1.0344080706313679e-23, 7.3886146162622714e-30, 6.2691589446677077e-44, 1.9974291614065777e-57, 2.9080579671154413e-62, 4.1801195196451053e-81, 3.2050877764465772e-84, 4.775488599929819e-117, 4.6458906953189727e-192, 1.428842980126814e-314, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
measur,"[4, 10, 1, 20, 9, 13, 15, 24, 2, 3, 5, 6, 7, 8, 12, 11, 23, 14, 16, 17, 18, 19, 21, 22, 0]","[1.0, 1.0997781418136297e-65, 4.2491097312272849e-112, 1.7863208130960546e-125, 3.2150841325767191e-177, 4.8787187737555537e-183, 5.1381924641561185e-271, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
exampl,"[4, 10, 13, 20, 1, 9, 15, 5, 12, 0, 14, 16, 23, 11, 17, 18, 8, 7, 6, 19, 21, 3, 2, 22, 24]","[1.0, 3.6313148270339713e-64, 3.1478094007682421e-74, 3.4490396615650736e-92, 1.0867518004334747e-105, 4.9973447425688074e-157, 2.2837741685110621e-196, 3.6370851590529832e-276, 3.0026611123074727e-280, 2.9649095771609587e-283, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
line,"[4, 1, 10, 20, 13, 9, 15, 0, 5, 12, 17, 14, 16, 23, 11, 18, 8, 7, 6, 19, 21, 3, 2, 22, 24]","[1.0, 2.1300827389830042e-56, 4.6506049208368436e-59, 3.2658142355327385e-59, 2.3862200947466686e-64, 6.474999836665054e-101, 1.4187139388985721e-179, 4.579502579001914e-212, 3.8782008840978928e-221, 3.2419292983842971e-298, 6.1086325691828987e-300, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
segment,"[5, 0, 17, 9, 15, 1, 23, 3, 20, 10, 13, 4, 12, 11, 14, 16, 8, 7, 6, 18, 19, 21, 2, 22, 24]","[0.99999999773388026, 2.2655767755651734e-09, 4.905100397687862e-13, 3.3616642612357807e-14, 7.0173258172619963e-16, 3.6907174215967065e-22, 8.7790457522159434e-25, 3.9006585867216965e-28, 5.9947616294732777e-38, 7.7790715829518399e-42, 1.2613430246747262e-62, 5.9731110632311991e-66, 1.7281979887015783e-135, 1.1425174651473839e-241, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
length,"[10, 1, 20, 9, 13, 4, 15, 5, 0, 12, 17, 23, 3, 14, 16, 11, 18, 8, 7, 6, 19, 21, 2, 22, 24]","[1.0, 1.3348767683131342e-25, 2.2456598743851494e-36, 1.623432031811534e-53, 1.2321858447114061e-54, 2.9770923709167969e-92, 1.1202880112210017e-93, 1.6113602121162311e-115, 5.9866410027476824e-132, 3.9786768466818273e-161, 5.468755457394626e-176, 7.5129582478604148e-227, 9.3139607284144216e-287, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
first,"[4, 10, 13, 20, 1, 24, 2, 3, 5, 6, 7, 8, 9, 12, 11, 23, 14, 15, 16, 17, 18, 19, 21, 22, 0]","[1.0, 1.8551633780451814e-175, 3.857593999180684e-244, 6.2247227692963876e-264, 1.4530524207720115e-265, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
infinit,"[20, 1, 9, 10, 15, 13, 5, 0, 4, 17, 12, 23, 3, 14, 11, 16, 18, 8, 7, 6, 19, 21, 2, 22, 24]","[1.0, 2.0180781960250329e-28, 1.3924530817126929e-29, 8.9575901659648195e-35, 1.5153687686200129e-67, 4.6312654338237563e-68, 4.9437593033373621e-89, 3.4036623028740526e-101, 4.6216203272071766e-127, 4.0313672314900069e-132, 1.1830560881843759e-148, 6.054193362865659e-174, 8.0442721199590322e-231, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
sequenc,"[10, 20, 13, 1, 9, 15, 5, 17, 4, 0, 2, 3, 6, 7, 8, 24, 11, 23, 14, 16, 18, 19, 21, 22, 12]","[1.0, 6.7525619162382234e-27, 4.4805763115199027e-71, 4.9853302194476125e-78, 1.4442331975198886e-98, 2.208226432152417e-144, 1.5548009780712327e-181, 3.669418685044258e-250, 1.2112745675803989e-289, 7.1539887790414689e-308, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
natur,"[13, 1, 20, 9, 10, 24, 2, 3, 4, 5, 6, 7, 8, 12, 11, 23, 14, 15, 16, 17, 18, 19, 21, 22, 0]","[1.0, 4.0426084280509729e-243, 4.9751264822341174e-249, 1.0496691128138546e-250, 1.3463815132744166e-270, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
follow,"[13, 10, 20, 1, 9, 4, 15, 0, 5, 12, 17, 23, 14, 16, 11, 18, 8, 7, 6, 19, 21, 3, 2, 22, 24]","[1.0, 3.1700442831620148e-33, 9.6268179415043591e-41, 4.8945400440557148e-42, 3.0378759921363235e-76, 3.2075269933410905e-83, 3.1882763889199236e-139, 3.1306900816480679e-187, 2.119416356473765e-193, 3.0426620797972256e-222, 3.5490150111647403e-268, 1.7218187757567442e-319, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,"[24, 11, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 23, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
e,"[22, 24, 11, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 23, 13, 14, 15, 16, 17, 18, 19, 20, 21, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
mathemat,"[7, 24, 11, 1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 23, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
constant,"[19, 24, 11, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 23, 13, 14, 15, 16, 17, 18, 20, 21, 22, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
approxim,"[22, 20, 10, 1, 9, 4, 13, 15, 5, 24, 2, 3, 6, 7, 8, 12, 11, 23, 14, 16, 17, 18, 19, 21, 0]","[1.0, 3.639194665921131e-145, 6.0443198892300289e-154, 3.8792634973151033e-160, 2.1009343068173156e-196, 5.1725446401295865e-257, 1.0149183614108497e-272, 9.0873494239580477e-320, 2.6333698923338441e-321, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
equal,"[22, 10, 1, 20, 13, 4, 9, 15, 5, 0, 2, 3, 6, 7, 8, 24, 11, 23, 14, 16, 17, 18, 19, 21, 12]","[1.0, 4.4058061662650515e-69, 2.9259500415292817e-94, 3.8101008023342872e-97, 5.5449581850636177e-113, 1.4277631649581263e-122, 6.3406494353751018e-147, 1.8834156447496761e-236, 4.2955476609746757e-275, 1.7701327151767954e-306, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
appear,"[4, 10, 20, 1, 13, 9, 12, 15, 5, 0, 17, 23, 14, 16, 11, 18, 8, 7, 6, 19, 21, 3, 2, 22, 24]","[1.0, 2.980706519172387e-27, 3.9528853254725321e-38, 6.0439846169074561e-55, 5.1912107554760511e-57, 4.4227385883587145e-100, 6.9114633026939367e-126, 3.874105932840527e-138, 3.4917955446769927e-179, 2.2304132934770416e-193, 2.5513562503910593e-274, 4.6146054799705692e-297, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
mani,"[13, 10, 1, 20, 9, 24, 2, 3, 4, 5, 6, 7, 8, 12, 11, 23, 14, 15, 16, 17, 18, 19, 21, 22, 0]","[1.0, 3.5918019582137651e-161, 4.4475122796800977e-267, 2.9739312657941132e-277, 7.9050503334599447e-323, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
differ,"[10, 13, 1, 24, 11, 2, 3, 4, 5, 6, 7, 8, 9, 12, 23, 14, 15, 16, 17, 18, 19, 20, 21, 22, 0]","[1.0, 5.4760306118303435e-292, 3.944193100593634e-297, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
set,"[19, 20, 24, 10, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 11, 23, 13, 14, 15, 16, 17, 18, 21, 22, 0]","[1.0, 3.1530594600971145e-285, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
throughout,"[20, 1, 10, 9, 13, 15, 5, 0, 4, 17, 23, 12, 3, 14, 11, 16, 18, 8, 7, 6, 19, 21, 2, 22, 24]","[0.99999999998294697, 1.7056388260717315e-11, 5.6742907027860502e-25, 2.8290811437141682e-25, 5.0007536751047245e-34, 2.1002065049422218e-41, 8.4175862440204728e-71, 1.258984444230756e-74, 9.7383051620489146e-78, 2.2880803375269307e-111, 5.5314037085409875e-127, 3.1819428101169644e-131, 2.9650046847077057e-169, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
discov,"[4, 10, 13, 20, 1, 9, 15, 0, 5, 2, 3, 6, 7, 8, 24, 11, 23, 14, 16, 17, 18, 19, 21, 22, 12]","[1.0, 2.172267790781799e-63, 2.4647769812769645e-82, 2.5832958918633131e-95, 4.9853643270997635e-102, 2.2176252996824816e-196, 6.3794883693244506e-240, 3.4759037128422182e-300, 2.7909119586578875e-305, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
